,player_id,player_name,Ground_truth,predict_label
0,708,kevin garnett,"PowerForward,SmallForward,Center",C
1,977,kobe bryant,"SmallForward,ShootingGuard",PG
2,1495,tim duncan,"Center,PowerForward",C
3,1713,vince carter,"SmallForward,ShootingGuard",SF
4,1717,dirk nowtizski,"Center,PowerForward",PF
5,1718,paul pierce,"ShootingGuard,SmallForward",PF
6,1889,andre miller,"PointGuard,ShootingGuard",PG
7,1890,shawn marion,"PowerForward,SmallForward",C
8,1891,jason terry,"PointGuard,ShootingGuard",SF
9,1938,manu ginobili,ShootingGuard,SG
10,2034,mike miller,"ShootingGuard,SmallForward",SF
11,2037,jamal crawford,"ShootingGuard,PointGuard",SG
12,2045,hedo turkoglu,"PowerForward,SmallForward",SF
13,2199,tyson chandler,"Center,PowerForward",C
14,2200,pau gasol,"Center,PowerForward",C
15,2207,joe johnson,"ShootingGuard,SmallForward",SG
16,2210,richard jefferson,SmallForward,SF
17,2216,zach randolph,"PowerForward,Center",C
18,2225,tony parker,PointGuard,PG
19,2365,chris andersen,"Center,PowerForward",C
20,2403,nene hilario,"Center,PowerForward",C
21,2405,amare stoudemire,"PowerForward,Center",C
22,2406,caron butler,"ShootingGuard,SmallForward",SF
23,2430,carlos boozer,"PowerForward,Center",C
24,2440,matt barnes,"SmallForward,PowerForward",SF
25,2446,rasual butler,"ShootingGuard,SmallForward",SF
26,2449,luis scola,PowerForward,C
27,2544,lebron james,"SmallForward,PowerForward,ShootingGuard",PG
28,2546,carmelo anthony,"SmallForward,PowerForward",PF
29,2547,chris bosh,"Center,PowerForward",PF
30,2548,dwayne wade,"PointGuard,ShootingGuard",PG
31,2549,chris kaman,Center,C
32,2550,kirk hinrich,"ShootingGuard,PointGuard",SG
33,2555,nick collison,"Center,PowerForward",PF
34,2561,david west,"PowerForward,Center,SmallForward",C
35,2564,boris diaw,"PowerForward,ShootingGuard",PF
36,2570,kendrick perkins,Center,C
37,2571,leandro barbosa,"PointGuard,ShootingGuard",PF
38,2581,steve blake,PointGuard,SG
39,2585,zaza pachulia,Center,C
40,2588,matt bonner,"PowerForward,Center",SF
41,2590,mo williams,"PointGuard,ShootingGuard",PG
42,2594,kyle korver,"ShootingGuard,SmallForward,PowerForward",SF
43,2617,udonis haslem,"Center,PowerForward",C
44,2730,dwight howard,"PowerForward,Center",C
45,2732,ben gordon,ShootingGuard,SG
46,2733,shaun livingston,"PointGuard,ShootingGuard",PG
47,2734,devin harris,"ShootingGuard,PointGuard",SG
48,2736,luol deng,"SmallForward,PowerForward",PF
49,2738,andre iguodala,"ShootingGuard,SmallForward",PF
50,2743,kris humphries,"PowerForward,SmallForward",C
51,2744,al jefferson,SmallForward,C
52,2754,tony allen,"ShootingGuard,PointGuard,SmallForward",C
53,2757,beno urdih,"PointGuard,ShootingGuard",PG
54,2772,trevor ariza,"SmallForward,ShootingGuard",SF
55,101106,andrew bogut,"PowerForward,Center",C
56,101107,marvin williams,"PowerForward,SmallForward",SF
57,101108,chris paul,"ShootingGuard,SmallForward",PG
58,101111,charlie villanueva,PowerForward,SF
59,101112,channing frye,"PowerForward,Center",SF
60,101114,deron williams,PointGuard,PG
61,101123,gerald green,"ShootingGuard,SmallForward",SF
62,101126,nate robinson,PointGuard,SG
63,101127,jarrett jack,"ShootingGuard,PointGuard",PG
64,101131,jason maxiell,"PowerForward,Center",C
65,101138,brandon bass,"Center,PowerForward",C
66,101139,cj miles,"SmallForward,ShootingGuard,PointGuard",SF
67,101145,mnta ellis,ShootingGuard,PG
68,101150,lou williams,"PointGuard,ShootingGuard",SG
69,101161,amir johnson,"SmallForward,Center,PowerForward",C
70,101162,marcin gortat,"PowerForward,Center",C
71,101179,ronnie price,"ShootingGuard,PointGuard",SG
72,101181,jose calderon,"ShootingGuard,PointGuard",SG
73,101187,alan anderson,"SmallForward,ShootingGuard",SF
74,200746,lamarcus aldridge,"Center,PowerForward",C
75,200752,rudy gay,"SmallForward,PowerForward",PG
76,200755,jj redick,"ShootingGuard,PointGuard",SF
77,200757,thabo sefolosha,"SmallForward,ShootingGuard",PF
78,200761,shawne williams,"SmallForward,PowerForward,ShootingGuard",SF
79,200768,kyle lowry,PointGuard,PG
80,200770,jordan farmar,PointGuard,SG
81,200782,pj tucker,"PowerForward,ShootingGuard,SmallForward",PF
82,200794,paul millsap,PowerForward,PF
83,200826,jose juan barea,"ShootingGuard,PointGuard",PG
84,201143,al horford,Center,C
85,201144,mike conley,PointGuard,PG
86,201145,jeff green,"SmallForward,PowerForward",PF
87,201149,joakim noah,Center,C
88,201150,spencer hawes,"PowerForward,Center",PF
89,201152,thaddeus young,PowerForward,C
90,201155,rodney stuckey,"ShootingGuard,PointGuard",PG
91,201156,nick young,ShootingGuard,SG
92,201158,marco belinelli,"SmallForward,ShootingGuard",SF
93,201160,jason smith,"Center,PowerForward",C
94,201162,jared dudley,"PowerForward,SmallForward,ShootingGuard",SF
95,201163,wilson chandler,"SmallForward,PowerForward,ShootingGuard",PF
96,201166,aaron brooks,PointGuard,PG
97,201167,arron afflalo,"SmallForward,ShootingGuard",PF
98,201171,carl landry,PowerForward,C
99,201175,glen davis,"Center,PowerForward",C
100,201188,marc gasol,Center,C
101,201196,ramon sessions,"ShootingGuard,PointGuard",PG
102,201228,cj watson,PointGuard,SG
103,201564,oj mayo,ShootingGuard,PF
104,201565,derrick rose,PointGuard,PG
105,201566,russell westbrook,PointGuard,PG
