,player_name,player_id,ALL_RANK
109092,deandre jordan,201599,1
36622,tyson chandler,2199,2
59453,danny green,201980,3
35165,patrick patterson,202335,4
107109,matt barnes,2440,5
48426,chris copeland,203142,6
20013,kyle korver,2594,6
17336,draymond green,203110,8
8408,rudy gobert,203497,9
28029,ryan anderson,201583,10
104258,anthony morrow,201627,11
89251,jonas jerebko,201973,12
124368,mirza teletovic,203141,13
115917,wesley matthews,202083,14
50034,cj miles,101139,15
41466,channing frye,101112,16
89483,kyle singler,202713,17
71063,robert covington,203496,18
127097,bojan bogdanovic,202711,19
29594,luke babbitt,202337,20
47208,kevin love,201567,21
91279,jason terry,1891,22
58817,matt bonner,2588,23
95766,chris andersen,2365,24
66214,pj tucker,200782,25
372,bismack biyombo,202687,26
39037,richard jefferson,2210,27
94783,shawne williams,200761,28
90596,trevor ariza,2772,29
21970,demarre carroll,201960,30
37864,charlie villanueva,101111,30
73308,hollis thompson,203138,32
109587,spencer hawes,201150,33
107558,jj redick,200755,34
72017,jerami grant,203924,35
114252,nikola mirotic,202703,36
98722,ben mclemore,203463,37
114613,tony snell,203503,38
122334,shabazz muhammad,203498,39
88586,andre drummond,203083,40
20916,mike scott,203118,41
117962,alan crabbe,203459,42
4163,marvin williams,101107,42
109485,hedo turkoglu,2045,44
48072,joe harris,203925,45
75367,jared dudley,201162,46
49538,damjan rudez,204014,46
13335,harrison barnes,203084,48
15022,klay thompson,202691,49
47978,mike miller,2034,50
48172,lavoy allen,202730,51
25461,rasual butler,2446,52
55785,marcus smart,203935,53
105640,andre roberson,203460,54
69934,alex len,203458,54
85606,pablo prigioni,203143,56
10523,ed davis,202334,57
123618,robbie hummel,203133,58
7120,dante exum,203957,59
24934,paul pierce,1718,60
85780,time hardaway jr,203501,61
93248,patrick beverley,201976,62
20491,pero antic,203544,63
32180,terrence ross,203082,64
46812,tristan thompson,202684,65
44453,matthew dellavedova,203521,66
79850,kosta koufos,201585,67
11534,wesley johnson,202325,68
53406,marcus thornton,201977,69
87087,kentavious caldwell-pope,203484,70
61591,wilson chandler,201163,71
24440,garrett temple,202066,72
60009,aron baynes,203382,73
16754,andrew bogut,101106,74
123419,chase budinger,201978,75
124686,mason plumlee,203486,76
97336,luol deng,2736,77
67375,gerald green,101123,78
38363,chandler parsons,202718,78
65018,danilo gallinai,201568,80
18603,thabo sefolosha,200757,81
63259,timofey mozgov,202389,82
102458,nick collison,2555,83
65369,kenneth faried,202702,84
94649,udonis haslem,2617,85
56084,kelly olynyk,203482,86
103523,serge ibaka,201586,86
32744,amir johnson,101161,88
38105,al farouq aminu,202329,89
94038,joey dorsey,201595,90
57139,marco belinelli,201158,91
57463,manu ginobili,1938,92
115403,joakim noah,201149,93
68623,marcus morris,202694,94
90409,kostas papanikolaou,203123,94
125390,alan anderson,101187,96
40090,tobias harris,202699,97
52651,avery bradley,202340,98
72892,kj mcdaniels,203909,99
20713,kent bazemore,203145,100
5477,trevor booker,202344,101
27221,omer asik,201600,102
81275,courtney lee,201584,103
19259,paul millsap,200794,104
54640,jared sullinger,203096,105
79310,vince carter,1713,106
53722,tyler zeller,203092,107
99304,derrick williams,202682,108
16993,andre iguodala,2738,109
75726,oj mayo,201564,111
22432,marcin gortat,101162,111
105808,jeremy lamb,203087,111
127009,jerome jordan,202366,113
118056,nicolas batum,201587,114
37817,greg smith,202962,114
77125,khris middleton,203114,116
23683,bradley beal,203078,117
88296,caron butler,2406,118
91618,donatas motiejunas,202700,119
116665,steve blake,2581,120
52172,solomon hill,203524,121
41362,aaron gordon,203932,122
96812,james ennis,203516,123
7405,jon ingles,204060,124
84468,jose calderon,101181,125
100140,nik stauskas,203917,126
115743,cj mccollum,203468,127
37386,devin harris,2734,128
93704,dwight howard,2730,129
43296,nikola vucevic,202696,130
45605,shawn marion,1890,131
23002,otto porter,203490,132
15993,marreese speights,201578,133
31200,tyler hansbrough,201946,134
63687,arron afflalo,201167,135
12620,nick young,201156,136
71573,nerles noel,203457,137
6443,derrick favors,202324,138
61453,alonzo gee,202087,139
79593,jon leuer,202720,140
64669,darrell arthur,201589,141
113471,jimmy butler,202710,142
60826,tim duncan,1495,143
109919,jordan farmar,200770,144
34679,jonas valanciunas,202685,145
74353,henry sims,203156,146
112279,taj gibson,201959,147
43087,kyle oquinn,203124,148
5804,enes kanter,202683,148
106032,steve adams,203500,150
40805,evan fournier,203095,151
39274,dirk nowtizski,1717,152
48731,luis scola,2449,153
111147,kirk hinrich,2550,154
1286,cody zeller,203469,155
121689,anthony bennett,203461,156
33146,greivis vasquez,202349,157
64375,jusuf nurkic,203994,158
23286,kris humphries,2743,159
29750,anthony davis,203076,160
7625,trey burke,203504,161
80103,tony allen,2754,162
96605,shabazz napier,203894,163
73862,luc mbah a moute,201601,164
56425,jeff green,201145,165
65881,jj hickson,201581,166
14054,stephen curry,201939,167
11096,wayne ellington,201961,168
59016,boris diaw,2564,169
97903,jason thompson,201574,170
78639,zach randolph,2216,171
83266,cole aldrich,202332,172
74776,john henson,203089,173
49733,cj watson,201228,174
73652,jakarr sampson,203960,175
123737,brook lopez,201572,176
119926,andrew wiggins,203952,177
10873,ronnie price,101179,178
106306,jamal crawford,2037,179
13798,leandro barbosa,2571,180
68005,isaiah thomas,202738,181
95021,chris bosh,2547,182
111461,pau gasol,2200,183
58301,kawhi leonard,202695,184
66622,goran dragic,201609,185
17888,al horford,201143,186
126242,joe johnson,2207,187
84132,amare stoudemire,2405,188
8675,carlos boozer,2430,189
30838,alexis ajinca,201582,190
70233,markieff morris,202693,191
83619,quincy acy,203112,192
119492,chris kaman,2549,193
120723,gorgui dieng,203476,194
110077,blake griffin,201933,195
84814,carmelo anthony,2546,196
116912,lamarcus aldridge,200746,197
12006,jordan hill,201941,198
114842,aaron brooks,201166,199
1641,gary neal,202390,200
122725,thaddeus young,201152,201
30591,dante cunningham,201967,202
4481,jason maxiell,101131,203
3358,michael kidd-gilchrist,203077,204
51131,roy hibbert,201579,205
80461,marc gasol,201188,206
33689,lou williams,101150,207
4610,gordon hayward,202330,208
25868,nene hilario,2403,209
51659,david west,2561,210
98435,carl landry,201171,211
77687,giannis antetokounmpo,203507,212
86375,greg monroe,202328,213
101999,omri casspi,201956,214
486,al jefferson,2744,215
82834,jason smith,201160,216
55305,brandon bass,101138,217
94131,mario chalmers,201596,218
41878,victor oladipo,203506,219
24598,kevin seraphin,202338,220
100332,demarcus cousins,202326,221
83854,shane larkin,203499,222
103329,kendrick perkins,2570,223
76297,brandon knight,202688,224
2100,gerald henderson,201945,225
34368,james johnson,201949,226
57955,cory joseph,202709,227
118506,damian lillard,203081,228
44663,kyrie irving,202681,229
101120,rudy gay,200752,230
112697,derrick rose,201565,231
75017,zaza pachulia,2585,231
82107,mike conley,201144,233
0,brian roberts,203148,234
83457,travis wear,204037,235
50594,rodney stuckey,201155,236
92194,james harden,201935,237
110970,glen davis,201175,238
36962,jose juan barea,200826,239
62324,nate robinson,101126,240
121130,mo williams,2590,241
96971,norris cole,202708,242
125089,kevin garnett,708,243
98195,ray mccallum,203492,244
9295,jeremy lin,202391,245
89866,brandon jennings,201943,246
31301,kyle lowry,200768,247
95902,dwayne wade,2548,248
121963,zach lavine,203897,249
49200,donald sloan,202388,250
125727,deron williams,101114,251
24266,andre miller,1889,251
99590,darren collison,201954,253
104671,russell westbrook,201566,254
69160,eric bledsoe,202339,254
72235,michael carter-williams,203487,256
2663,kemba walker,202689,257
28680,tyreke evans,201936,258
27521,jrue holiday,201950,259
54141,evan turner,202323,260
21283,jeff teague,201952,261
13093,robert sacre,203135,262
45834,lebron james,2544,262
62526,ty lawson,201951,264
44198,ben gordon,2732,265
87770,dj augustin,201571,266
35570,mnta ellis,101145,267
102239,ramon sessions,201196,268
60266,tony parker,2225,269
16491,shaun livingston,2733,270
42607,elfrid payton,203901,271
9810,kobe bryant,977,272
3727,lance stephenson,202362,273
102670,reggie jackson,202704,274
78236,jerryd bayless,201573,275
18806,dennis schroder,203471,276
81751,beno urdih,2757,277
26347,john wall,202322,278
127457,jarrett jack,101127,279
108207,chris paul,101108,280
31049,jimmer dredette,202690,281
